h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23
0.180885985,0.179283461,0.259133342,0.512244974,0.56079203,0.563159755,0.5703237,0.574385098,0.57632232,0.577254191,0.577059559,0.576311965,0.575894974,0.587109115,0.807645406,0.995347426,0.99987762,0.99992605,1.0,0.788112878,0.504452062,0.0,0.279211264
0.180894764,0.179121351,0.259688229,0.523400975,0.71870282,0.71537609,0.56949775,0.573624922,0.575921309,0.575847457,0.576383635,0.578802716,0.574313648,0.585761064,0.826930285,0.999450446,1.0,1.0,0.997817339,0.772372593,0.461212208,0.0,0.226510224
0.180665264,0.178679383,0.243050006,0.501759355,0.549858443,0.648045636,0.566131929,0.573984691,0.575066962,0.567724781,0.58791164,0.572473346,0.557350573,0.682993111,0.8552072,0.999513811,1.0,1.0,1.0,0.813581016,0.517368663,0.0,0.224496113
0.180319411,0.179168499,0.259333915,0.52106505,0.57255418,0.583204728,0.5703346,0.575489991,0.575716997,0.576642942,0.57845644,0.577191773,0.569832438,0.569977037,0.789099342,0.994805972,1.0,1.0,1.0,0.787587617,0.476512033,0.0,0.211552984
0.0,0.004664213,0.082870625,0.360339713,0.450498601,0.483905833,0.479786902,0.462637335,0.464463914,0.48215848,0.4717001,0.45970863,0.476220362,0.376249764,0.713701171,0.966501039,1.0,1.0,1.0,1.0,0.999711685,0.6953736,0.384431438
0.001960448,0.0,0.100641452,0.398682597,0.490448666,0.657124926,0.486534039,0.479828515,0.484569919,0.482761794,0.482739692,0.484769185,0.482866238,0.504528584,0.843855129,1.0,1.0,1.0,0.991079373,0.501838961,0.332681736,0.131505832,0.000588885
0.163825947,0.182919273,0.176369442,0.165011474,0.0,0.556538295,0.574962256,0.574962256,0.557531517,0.57237914,0.575498449,0.574829245,0.574010596,0.573330991,0.75695291,0.862443384,0.976068331,0.997464172,1.0,1.0,0.853959909,0.563656956,0.494982234
0.178422724,0.176712949,0.249557177,0.486204636,0.575327431,0.616357347,0.562201487,0.574213456,0.580753869,0.711862753,0.785241322,0.7238439,0.571158631,0.736884704,0.862443384,0.998247243,1.0,1.0,0.999999285,0.782055688,0.551559446,0.504841447,0.0
0.0,0.000928694,0.068813484,0.338152346,0.465299121,0.483688426,0.480449644,0.453639064,0.470577107,0.481427072,0.480975256,0.387325177,0.482229827,0.351672132,0.570940666,0.817654712,0.999980674,1.0,1.0,1.0,0.948352259,0.433065215,0.377363703
0.179519144,0.181435322,0.198421046,0.0,0.574962256,0.574220474,0.574962256,0.574962256,0.574962256,0.574962256,0.574962256,0.574962256,0.0,0.432357976,0.638839675,0.849693135,0.976045637,1.0,1.0,1.0,1.0,1.0,0.991395907
0.0,0.000769459,0.0535958,0.321285805,0.476051832,0.472752537,0.474935504,0.482910528,0.481903507,0.481889659,0.480743297,0.475444598,0.429199901,0.409820645,0.740771178,0.964666278,1.0,1.0,1.0,0.941662093,0.442353997,0.306539713,0.131289759
0.181216472,0.180251749,0.250505313,0.506481315,0.574677277,0.676336546,0.562857408,0.57460031,0.571348362,0.574184903,0.576875518,0.574465101,0.518336313,0.584746588,0.824361126,0.990687446,1.0,1.0,1.0,0.909188068,0.450339735,0.0,0.245967918
0.436043855,0.23261466,0.181167444,0.176020977,0.169748961,0.0,0.568804843,0.555896913,0.566082826,0.576485921,0.575125548,0.57537219,0.5678747,0.565354459,0.675447276,0.768395381,0.862443384,0.862443384,0.902826766,1.0,1.0,1.0,0.999866683
0.176436565,0.18115042,0.183829086,0.0,0.530739099,0.566089463,0.574962256,0.573745781,0.574962256,0.574962256,0.574962256,0.574962256,0.0,0.431221692,0.693704925,0.867053106,1.0,1.0,1.0,1.0,1.0,1.0,0.993334533
0.001144477,0.0,0.047035806,0.306095055,0.475922396,0.480989759,0.479823168,0.478453428,0.432597056,0.449168596,0.478351668,0.460440807,0.476270557,0.385277231,0.719627418,0.869683011,0.999637612,0.999928679,1.0,1.0,0.969873761,0.490942767,0.314778054
0.177144155,0.179484239,0.24544401,0.45544227,0.569192552,0.568120724,0.571335901,0.570263638,0.567653072,0.571464302,0.573643208,0.546096061,0.574962256,0.485013739,0.749542394,0.912715073,1.0,1.0,1.0,1.0,0.786099919,0.46786551,0.0
0.00010854,0.0,0.050340483,0.310792826,0.478736494,0.481181526,0.479523631,0.463441556,0.453578555,0.474926286,0.479338669,0.449333077,0.462592593,0.385964306,0.653191839,0.832299548,1.0,1.0,1.0,1.0,0.821527463,0.414537284,0.32618521
0.178079798,0.180526485,0.179499076,0.0,0.512956496,0.564786894,0.574962256,0.0,0.574962256,0.574962256,0.574962256,0.574962256,0.574962256,0.464951841,0.567338222,0.827824937,0.862443384,0.862443384,0.998477265,1.0,1.0,1.0,0.990344776
0.0,0.003564171,0.070694576,0.370050346,0.461057103,0.487298892,0.429816336,0.484378196,0.482817965,0.478685815,0.474284768,0.442345606,0.460899789,0.410656417,0.719282256,0.875128498,1.0,1.0,1.0,1.0,0.977350312,0.433131768,0.370738173
